(-0.13, -0.97, 0.20, -0.02)
(-0.13, -0.97, 0.20, -0.02)
(-0.13, -0.97, 0.20, -0.02)
(-0.13, -0.97, 0.20, -0.02)
(-0.13, -0.97, 0.20, -0.02)
(-0.13, -0.97, 0.20, -0.02)
(-0.13, -0.97, 0.20, -0.02)
(-0.13, -0.97, 0.20, -0.01)
(-0.13, -0.97, 0.20, -0.01)
(-0.12, -0.97, 0.21, -0.01)
(-0.12, -0.97, 0.21, -0.01)
(-0.12, -0.97, 0.21, -0.01)
(-0.12, -0.97, 0.21, -0.01)
(-0.12, -0.97, 0.21, -0.01)
(-0.12, -0.97, 0.22, -0.01)
(-0.11, -0.97, 0.22, -0.01)
(-0.11, -0.97, 0.22, -0.01)
(-0.11, -0.97, 0.23, -0.01)
(-0.10, -0.97, 0.23, -0.01)
(-0.10, -0.97, 0.23, -0.01)
(-0.09, -0.97, 0.24, -0.01)
(-0.09, -0.97, 0.24, -0.01)
(-0.09, -0.97, 0.25, -0.01)
(-0.08, -0.96, 0.25, -0.01)
(-0.08, -0.96, 0.25, 0.00)
(-0.07, -0.96, 0.26, 0.00)
(-0.07, -0.96, 0.26, 0.00)
(-0.06, -0.96, 0.27, 0.01)
(-0.06, -0.96, 0.27, 0.01)
(-0.05, -0.96, 0.27, 0.01)
(-0.05, -0.96, 0.28, 0.02)
(-0.04, -0.96, 0.29, 0.02)
(-0.04, -0.95, 0.30, 0.03)
(-0.03, -0.95, 0.30, 0.03)
(-0.02, -0.95, 0.30, 0.04)
(-0.02, -0.96, 0.29, 0.05)
(-0.01, -0.95, 0.30, 0.05)
(0.00, -0.95, 0.30, 0.06)
(0.00, -0.95, 0.30, 0.06)
(0.00, -0.95, 0.30, 0.07)
(0.01, -0.95, 0.30, 0.07)
(0.01, -0.95, 0.30, 0.07)
(0.02, -0.95, 0.29, 0.08)
(0.03, -0.95, 0.29, 0.08)
(0.03, -0.95, 0.29, 0.09)
(0.04, -0.95, 0.29, 0.09)
(0.04, -0.95, 0.28, 0.09)
(0.05, -0.95, 0.28, 0.10)
(0.05, -0.95, 0.28, 0.10)
(0.06, -0.95, 0.28, 0.10)
(0.06, -0.95, 0.28, 0.11)
(0.07, -0.95, 0.27, 0.11)
(0.07, -0.95, 0.27, 0.12)
(0.07, -0.95, 0.27, 0.12)
(0.08, -0.95, 0.27, 0.13)
(0.08, -0.95, 0.27, 0.13)
(0.09, -0.95, 0.27, 0.13)
(0.09, -0.95, 0.27, 0.14)
(0.09, -0.95, 0.27, 0.14)
(0.10, -0.95, 0.26, 0.14)
(0.10, -0.95, 0.26, 0.15)
(0.10, -0.95, 0.26, 0.15)
(0.11, -0.95, 0.26, 0.15)
(0.11, -0.95, 0.26, 0.16)
(0.11, -0.95, 0.26, 0.16)
(0.11, -0.95, 0.26, 0.16)
(0.12, -0.95, 0.26, 0.16)
(0.12, -0.94, 0.26, 0.17)
(0.13, -0.94, 0.26, 0.17)
(0.13, -0.94, 0.26, 0.17)
(0.13, -0.94, 0.26, 0.17)
(0.13, -0.94, 0.26, 0.17)
(0.14, -0.94, 0.26, 0.17)
(0.14, -0.94, 0.26, 0.17)
(0.14, -0.94, 0.25, 0.18)
(0.14, -0.94, 0.25, 0.18)
(0.15, -0.94, 0.25, 0.18)
(0.15, -0.94, 0.25, 0.17)
(0.15, -0.94, 0.25, 0.17)
(0.15, -0.94, 0.25, 0.17)
(0.15, -0.94, 0.25, 0.17)
(0.15, -0.94, 0.24, 0.17)
(0.15, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.24, 0.17)
(0.16, -0.94, 0.23, 0.17)
(0.16, -0.94, 0.23, 0.17)
(0.16, -0.94, 0.23, 0.17)
(0.16, -0.94, 0.23, 0.17)
(0.16, -0.94, 0.23, 0.16)
(0.17, -0.94, 0.23, 0.16)
(0.17, -0.94, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.16)
(0.16, -0.95, 0.23, 0.15)
(0.16, -0.95, 0.23, 0.15)
(0.15, -0.95, 0.23, 0.15)
(0.15, -0.95, 0.23, 0.15)
(0.15, -0.95, 0.23, 0.15)
(0.15, -0.95, 0.23, 0.15)
(0.14, -0.95, 0.22, 0.14)
(0.14, -0.95, 0.22, 0.14)
(0.14, -0.95, 0.22, 0.14)
(0.14, -0.96, 0.22, 0.14)
(0.13, -0.96, 0.22, 0.14)
(0.13, -0.96, 0.22, 0.13)
(0.13, -0.96, 0.22, 0.13)
(0.13, -0.96, 0.23, 0.13)
(0.12, -0.96, 0.23, 0.12)
(0.12, -0.96, 0.23, 0.12)
(0.12, -0.96, 0.23, 0.12)
(0.12, -0.96, 0.23, 0.11)
(0.11, -0.96, 0.23, 0.10)
(0.11, -0.96, 0.23, 0.10)
(0.11, -0.96, 0.23, 0.09)
(0.10, -0.97, 0.23, 0.08)
(0.10, -0.97, 0.23, 0.07)
(0.09, -0.97, 0.23, 0.07)
(0.09, -0.97, 0.22, 0.06)
(0.08, -0.97, 0.22, 0.05)
(0.07, -0.97, 0.22, 0.04)
(0.07, -0.97, 0.22, 0.02)
(0.06, -0.97, 0.22, 0.01)
(0.05, -0.98, 0.22, 0.00)
(0.04, -0.98, 0.21, -0.01)
